Survey Area,Season,Round,Burrow ID,Camera #,SD Card#,Width,Status,Photo Reviewer,Distance (in),Notes,Date Start,Date End,Trap Days,# photos,Tortoise,Commensal Totals,Gopher Frog,Southern Toad,Treefrog,unk frog,Two-lined Salamander,Coachwhip,Corn Snake,Pine snake,Hognose,Black Racer,Diamondback Rattlesnake,Scarlet Snake,Coral Snake,Crowned Snake,Pygmy Rattlesnake,unk snake,Racerunner,Broad-headed Skink,Ground Skink,Mole Skink,Green Anole,Fence Lizard,unk lizard,Box Turtle,Mouse,Pocket Gopher,Cotton Rat,Eastern Woodrat,Cottontail,Fox Squirrel,Grey Squirrel,Flying Squirrel,unk rodent,Armadillo,Grey Fox,Coyote,Canid,Striped Skunk,Wild Boar,Opossum,Raccoon,Bobcat,Deer,Bear,unk mammal,Crow,Burrowing Owl,Screech Owl,American Kestrel,Chuck-will's-widow,Quail,Hermit Thrush,American Robin,Northern Mockingbird,Phoebe,Eastern Kingbird,Great-crested Flycatcher,Savanah Sparrow,Song Sparrow,White-throated Sparrow,Chipping Sparrow,Grasshopper Sparrow,Vesper Sparrow,Swamp Sparrow,Bachman's Sparrow,unk sparrow,Carolina Wren,House Wren,Palm Warbler,unk warbler,Northern Flicker,Eastern Meadowlark,Blue-gray Gnatcatcher,Mourning Dove,Grey Catbird,Turkey,unknown bird,unk animal
201E,fall,F1,KV5,8,8,353,A,VHP,60,"Anole behind burrow in grass, very hard to see. Fog from 0600-0700 on 10/15. 2nd tortoise comes and mounts first. Unkown animal comes early in morning when very foggy. Possibly cottontail?",10/14/2016 11:48,10/18/2016 19:09,4.3,18471,Y(2),4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,,0,0
201E,fall,F1,KV17,3,3,345,A,CME,60,2nd tortoise enters burrow,10/14/2016 12:00,10/18/2016 19:15,4.3,18501,Y(2),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,,0,0
201E,fall,F1,KV16,4,4,67,A,AB,60,Fog on 10/15 6-6:30 and 10/17 6-6:38,10/14/2016 11:00,10/18/2016 16:01,4.2,17394,Y ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,,0,0
201E,fall,F1,KV15,2,2,342,A,AB,60,Fog on 10/15 6-6:45 and 10/17 6-6:38,10/14/2016 12:00,10/18/2016 18:38,4.3,18276,Y,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,,0,0
201E,fall,F1,K12,6,6,130,I,VHP,60,"Fog from 0600-0700 on 10/15. Either barn or barred owl, but most likely barred.",10/14/2016 12:00,10/18/2016 16:25,4.2,17441,N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,,0,0
201E,fall,F1,KA4,1,1,322,A,CME,60,Fog on 10/15/16 from 6:00-6:56 and on 10/16/16 6:00-6:57,10/14/2016 12:00,10/18/2016 18:16,4.3,18146,Y,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,,0,0
201E,fall,F1,KV3,10,10,355,A,AB,60,"Fog on 10/15 6-6:50 and 10/17 6-6:38. 2nd tortoise visits  twice on 10/16 and mounts the resident tortoise. On 10/17 it comes back and goes down the burrow and stayed over night. Pics of mounting 5364, 5387",10/14/2016 12:00,10/18/2016 18:53,4.3,18414,Y(2),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,,0,0
201E,fall,F1,KB1,7,7,150,A,CME,60,"Fog on 10/15/16 from 6:00-7:13; Anole (2440) approached burrow, peered inside, and changed color before leaving",10/14/2016 10:43,10/18/2016 19:13,4.4,18518,Y,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,,0,0
201E,fall,F1,KB2,9,9,151,I,CME,60,"Fog on 10/15/16 from 6:00-7:12; Tortoise non-resident, foraging around burrow",10/14/2016 12:00,10/18/2016 16:38,4.2,17512,N (NR),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,,0,0
201E,fall,F1,KB3,5,5,246,A,"VHP, CME",60,Fog on 10/15/16 from 6:00-7:00; Skink upper left behind burrow,10/14/2016 11:36,10/18/2016 18:25,4.3,18183,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,,0,0
