,ANDspp,ARIMOH,ARIPUR,ASEVIO,AXOFIS,BALUNI,BAPspp,BERPUM,BULspp,CENVIR,CHAFAS,CHRGOS,CNISTI,COMERE,CROARG,CROCspp,CYPFIL,DALPIN,DANSER,DICspp,DIODTER,ERASPE,ERITOM,EUPACOM,EUPDIS,EUPFLO,EUTCAR,GALREG,GYMAMB,HELCAR,HOUPRO,HYPGEN,HYPOJUN,HYPSUF,LECSES,LESHIR,LIAGRA,LIASEC,LIATEN,LICMIC,LUPDIF,MIMQUA,moss-like,PANVIR,PARPAT,PASNOT,PASspp,PITASP,PITGRA,POLGRA,POLPOL,POLYPPRO,RHYCYT,RHYNGRA,RHYREN,RUECAR,SALAZU,SCHSAN,SCHSCO,SCHTEN,SCLCIL,SILCOM,SOLODO,SORSEC,SPOJUN,STISET,STYLBIF,STYPAT,SYMADN,SYMDUM,TEPCHR,TEPVIR,TRADHIR,TRASMA,TRAURE,VIOPAL
201E,10.25,0,0.416666667,0,0,0.25,0.083333333,0,0.583333333,0,0,3.833333333,0.166666667,0,2.333333333,0,0,0.25,0,8.5,0,0,0.25,0.666666667,0.083333333,0,0.5,2.5,0.666666667,0.083333333,0.083333333,0,0,0,3.166666667,0,0.166666667,0,0,2.916666667,0.083333333,0.583333333,0,0,0,0,0,15.83333333,0,0.916666667,0.416666667,0,0.083333333,0,0,0.583333333,0,0,1.416666667,0,0.25,0.083333333,2.25,2.166666667,0.083333333,0,0,0.75,0,0.833333333,0.166666667,1.583333333,0.083333333,0,0.083333333,0
Bull Creek,10.25,0,0.833333333,0,0,1.416666667,0.083333333,0,1.916666666,0.583333333,0.75,3,1.25,0.166666667,3.166666667,0,0.166666667,3.75,0,4.666666667,0.083333333,0.166666667,0.25,0.166666667,0,0.166666667,0.083333333,9.416666667,0,0.083333333,1.166666667,1.666666667,0.083333333,0,0.833333333,0,0,0.916666667,0.666666667,4.416666667,0,0.333333333,0.75,0,2.833333333,0,0.583333333,3.416666667,0,0.833333333,0.833333333,0,1,0.666666667,0,0.916666667,0.083333333,0.666666667,9.083333333,0,0.416666667,0,12.25,2.083333333,2.166666667,0,0,0.416666667,0,0,0.833333333,0,0.333333333,0,0.166666667,0
Garnier Creek,0.603448276,0,0.25862069,0,0,0,0,0,0.25862069,0,0,0.344827586,0,0.172413793,0,0,0.172413793,0,0,5.25862069,0,0.172413793,0,0.25862069,0,0.172413793,0,4.310344828,0,0,0,0,0,0,0.086206897,0,0,0,0,0.086206897,0,0,0,0,0,0,0.689655173,0,0,0,0,0,0.862068966,0.086206897,0,0,0,0,0,0,0,0,0,0,0,0.086206897,0,0.25862069,0,0,0.086206897,0,0,0.086206897,0,0
Middle Creek,15,0,0.666666667,0,0,0.333333333,0,0,1.583333333,0,0,0.666666667,0,0.083333333,0.916666667,0,0.333333333,0,0,12.08333333,0,0,0.916666667,0,0,0,0,6.916666667,0,0,0,0.333333333,0,0,1.416666667,0,0,0,0.25,6.5,0,0.333333333,0,0,0.166666667,0,1.25,4,0,1.333333333,0,0,0.916666667,0.5,0,1.416666667,0,0.583333333,9.583333333,0,0.416666667,0,3.666666667,1.25,7.75,0,0.166666667,1,0.083333333,0,0.333333333,0,0,0,0,0
Pine Log,1.810344828,0,0.775862069,0,0,0,0.086206897,0,0.086206897,0,0.086206897,1.982758621,0,0,1.034482759,0,0.086206897,0.086206897,0,3.362068966,0,0,0,0,0,0.431034483,0,3.275862069,0,0,0,0,0,0,0.086206897,0,0.086206897,0,0,1.293103448,0,0,0,0,0,0,0.086206897,0.862068966,0,0.086206897,0.25862069,0,0.344827586,0,0,0.086206897,0,2.068965517,5.431034483,0.517241379,0.172413793,0,1.034482759,0.517241379,0,0,0.086206897,0.344827586,0,0,0,0.517241379,0.086206897,0,0.086206897,0
Rogue Creek,0.583333333,0,0.583333333,0,0,0.083333333,0,0,0.25,0.083333333,0,0.583333333,0.25,0.583333333,0.333333333,0,0.25,0,0,2.916666667,0,0.083333333,0.083333333,0.083333333,0.333333333,0.833333333,0,1,0,0.083333333,0,0.416666667,0.083333333,0,0.916666667,0.083333333,0.75,0,0.083333333,2.166666667,0.166666667,0.083333333,0,0,0,0,0,0.833333333,1.5,0.166666667,0.25,0,0.166666667,0.333333333,0,0.083333333,0,0.083333333,5.25,0,0.333333333,0.5,0.916666667,0,0.166666667,0.416666667,0,0.083333333,0,0.083333333,0,4.833333333,0,0.666666667,0.25,0.166666667
Turtle Creek,4.833333333,0.5,1.166666667,0,0,0.25,0.083333333,0,0.083333333,0,0.583333333,0.166666667,0,0.583333333,2.083333333,0,0,0,0,5.75,0,0,1.583333333,0.5,0,0.25,0.083333333,2.25,0.083333333,0,0,0,0,0.083333333,0.083333333,0,0.25,0,0.083333333,10.25,0,0.416666667,0,0.583333333,0,0,0,1.583333333,0,1,0.083333333,0,0,0.916666667,0,0.166666667,0,0.5,3.083333333,0.75,0.416666667,0,0.25,0,2.75,0,0.083333333,0.666666667,0,0.333333333,0,9.916666667,0,0.166666667,0.166666667,0.166666667
B70C2,4.112903226,0.564516129,1.451612903,0,0,3.14516129,0,0,1.451612904,0,0,0,0,0,0.64516129,0,0,0,0,13.46774194,1.209677419,1.451612903,0,0,0,1.290322581,0.080645161,0.564516129,0.161290323,0,0,12.98387097,0,0,1.774193548,0,0,0,0.080645161,4.032258065,0,1.532258065,0,0,3.225806452,0,0.483870967,0.080645161,0,0.806451613,0.564516129,6.774193548,0.64516129,0.080645161,0,0,0,5.161290323,2.5,9.758064516,0,0,0.241935484,0,0.483870968,0,0.080645161,0.64516129,0,1.048387097,0,0,0,0,0.241935484,0
B70E,0.208333333,0,0.104166667,0,0.208333333,0.416666667,0,0,0,0,0.104166667,0,0,0,0.104166667,0,0,0,0,11.45833333,0,0,0,0,0,0.729166667,0,0.520833333,0,0,0,0,0,0,0.104166667,0,0,0,0,2.1875,0,0.3125,0,0,0,0,0,3.020833333,0,0.520833333,0.104166667,0,0.520833333,0,0,0.104166667,0,2.395833333,0,12.29166667,0.104166667,0,0.208333333,3.020833333,0,0,0,0.625,0,0,0,0.833333333,0,0,0,0
B71,0.833333333,0.083333333,0.833333333,0,0.5,0,0,0,1.5,0,0.666666667,5.583333333,0,0,1.25,0,0.083333333,0,0,15.83333333,0.833333333,0.75,0,0.166666667,0,0.25,0.083333333,0.25,0,0.25,0,0.083333333,0.083333333,0.25,7.75,0,0.166666667,0.166666667,0.083333333,3.833333333,0,0.5,0,0,0.083333333,2.833333333,0.833333333,0.5,0,1.833333333,0,0.75,1.083333333,0,0,0,0,8.333333333,0,6,0.083333333,0,0.083333333,0,0,0,0,2.166666667,0,0,0,0.083333333,0,0,0.083333333,0
